shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,-23.55262,-46.73184,1,0
1,-23.552291,-46.731597,2,
1,-23.551843,-46.731351,3,
1,-23.551748,-46.731282,4,
1,-23.551708,-46.731227,5,
1,-23.551686,-46.731183,6,
1,-23.551674,-46.731133,7,
1,-23.551682,-46.731012,8,
1,-23.552007,-46.730336,9,
1,-23.552267,-46.729803,10,
1,-23.55273,-46.72888,11,395
1,-23.554252,-46.725769,12,
1,-23.554335,-46.725619,13,
1,-23.554424,-46.725415,14,
1,-23.554647,-46.724856,15,
1,-23.555080,-46.724206,16,
1,-23.55525,-46.724,17,965
1,-23.555907,-46.722781,18,
1,-23.555713,-46.722679,19,
1,-23.55461,-46.72444,20,1325
1,-23.55197,-46.72997,21,1965
1,-23.551813,-46.730227,22,
1,-23.551406,-46.731064,23,
1,-23.551097,-46.731687,24,
1,-23.551112,-46.731730,25,
1,-23.551133,-46.731764,26,
1,-23.551160,-46.731787,27,
1,-23.551193,-46.731801,28,
1,-23.551232,-46.731804,29,
1,-23.551277,-46.731798,30,
1,-23.551503,-46.731398,31,
1,-23.551542,-46.731345,32,
1,-23.551584,-46.731324,33,
1,-23.551625,-46.731323,34,
1,-23.551671,-46.731318,35,
1,-23.551726,-46.731315,36,
1,-23.551843,-46.731351,37,
1,-23.55262,-46.73184,38,2375
1,-23.55613,-46.73386,39,2815
1,-23.556677,-46.734116,40,
1,-23.556809,-46.734374,41,
1,-23.556852,-46.734451,42,
1,-23.556901,-46.734537,43,
1,-23.556990,-46.734651,44,
1,-23.557101,-46.734706,45,
1,-23.557185,-46.734703,46,
1,-23.557252,-46.734686,47,
1,-23.55889,-46.73768,48,3325
1,-23.559181,-46.738072,49,
1,-23.559184,-46.738177,50,
1,-23.559191,-46.738275,51,
1,-23.559196,-46.738363,52,
1,-23.559223,-46.738473,53,
1,-23.559282,-46.738539,54,
1,-23.559355,-46.738605,55,
1,-23.559391,-46.738621,56,
1,-23.559615,-46.738530,57,
1,-23.559654,-46.738416,58,
1,-23.559653,-46.738331,59,
1,-23.559633,-46.738278,60,
1,-23.559568,-46.738168,61,
1,-23.559537,-46.738076,62,
1,-23.559408,-46.738017,63,
1,-23.559336,-46.738043,64,
1,-23.559271,-46.738001,65,
1,-23.559159,-46.737853,66,
1,-23.559075,-46.737791,67,
1,-23.557933,-46.735812,68,
1,-23.557306,-46.734657,69,
1,-23.557357,-46.734604,70,
1,-23.557392,-46.734523,71,
1,-23.557384,-46.734381,72,
1,-23.557276,-46.734162,73,
1,-23.557238,-46.734097,74,
1,-23.55792,-46.73277,75,4155
1,-23.55936,-46.72986,76,4495
1,-23.56066,-46.72719,77,4805
1,-23.56198,-46.72452,78,5115
1,-23.562832,-46.722659,79,
1,-23.563372,-46.721545,80,
1,-23.563456,-46.721549,81,
1,-23.563527,-46.721539,82,
1,-23.5641,-46.72265,83,5595
1,-23.564645,-46.723561,84,
1,-23.564834,-46.723474,85,
1,-23.56418,-46.7221,86,5875
1,-23.563753,-46.721400,87,
1,-23.563821,-46.721311,88,
1,-23.563870,-46.721196,89,
1,-23.563896,-46.721065,90,
1,-23.563887,-46.720942,91,
1,-23.563851,-46.720833,92,
1,-23.563789,-46.720735,93,
1,-23.563705,-46.720664,94,
1,-23.563615,-46.720623,95,
1,-23.563501,-46.720596,96,
1,-23.563308,-46.720597,97,
1,-23.563128,-46.720726,98,
1,-23.563062,-46.720821,99,
1,-23.563015,-46.720935,100,
1,-23.562999,-46.721074,101,
1,-23.563023,-46.721219,102,
1,-23.563073,-46.721333,103,
1,-23.563144,-46.721428,104,
1,-23.56234,-46.72306,105,6355
1,-23.562067,-46.723724,106,
1,-23.562077,-46.723664,107,
1,-23.561770,-46.723810,108,
1,-23.560180,-46.722830,109,
1,-23.557055,-46.721068,110,
1,-23.556931,-46.720762,111,
1,-23.557807,-46.718716,112,
1,-23.55731,-46.71994,113,7185
1,-23.557593,-46.719207,114,
1,-23.557929,-46.718331,115,
1,-23.560139,-46.713779,116,
1,-23.5607,-46.7134,117,7960
1,-23.561179,-46.713130,118,
1,-23.561813,-46.713031,119,
1,-23.562720,-46.713013,120,
1,-23.562997,-46.713010,121,
1,-23.563670,-46.713012,122,
1,-23.5637,-46.71273,123,8340
1,-23.561907,-46.712771,124,
1,-23.561813,-46.713031,125,
1,-23.562720,-46.713013,126,
1,-23.562997,-46.713010,127,
1,-23.56426,-46.71304,128,8830
1,-23.564543,-46.713006,129,
1,-23.564536,-46.713128,130,
1,-23.564591,-46.713276,131,
1,-23.564646,-46.713376,132,
1,-23.564982,-46.713529,133,
1,-23.565105,-46.713510,134,
1,-23.565189,-46.713486,135,
1,-23.565271,-46.713418,136,
1,-23.565325,-46.713323,137,
1,-23.56541,-46.71313,138,9000
1,-23.565319,-46.712811,139,
1,-23.565296,-46.712724,140,
1,-23.565741,-46.711806,141,
1,-23.567225,-46.711726,142,
1,-23.568033,-46.711703,143,
1,-23.568816,-46.711668,144,
1,-23.570197,-46.711602,145,
1,-23.570354,-46.711607,146,
1,-23.57099,-46.70963,147,9875
1,-23.57153,-46.70804,148,10045
2,-23.57153,-46.70804,1,0
2,-23.571826,-46.708550,2,
2,-23.571589,-46.709319,3,
2,-23.567822,-46.707976,4,
2,-23.567834,-46.707800,5,
2,-23.567804,-46.707673,6,
2,-23.567758,-46.707604,7,
2,-23.567719,-46.707559,8,
2,-23.567656,-46.707521,9,
2,-23.567599,-46.707494,10,
2,-23.567527,-46.707483,11,
2,-23.567444,-46.707490,12,
2,-23.567388,-46.707516,13,
2,-23.567322,-46.707561,14,
2,-23.567281,-46.707604,15,
2,-23.567246,-46.707665,16,
2,-23.567203,-46.707766,17,
2,-23.567204,-46.707811,18,
2,-23.567207,-46.707917,19,
2,-23.567227,-46.707980,20,
2,-23.567251,-46.708050,21,
2,-23.566082,-46.710535,22,
2,-23.56602,-46.71048,23,1200
2,-23.565050,-46.712596,24,
2,-23.564853,-46.712690,25,
2,-23.564647,-46.712743,26,
2,-23.564588,-46.712842,27,
2,-23.564543,-46.713006,28,
2,-23.564536,-46.713128,29,
2,-23.564591,-46.713276,30,
2,-23.564646,-46.713376,31,
2,-23.564036,-46.714680,32,
2,-23.56328,-46.7162,33,1835
2,-23.562231,-46.718266,34,
2,-23.562165,-46.718268,35,
2,-23.562105,-46.718290,36,
2,-23.562021,-46.718326,37,
