shape_id;shape_pt_lat;shape_pt_lon;shape_pt_sequence;shape_dist_traveled
1;-23.568;-46.7405;1;0
1;-23.56852;-46.73181;2;1100
1;-23.56709;-46.7275;3;1605
1;-23.56589;-46.72534;4;1865
1;-23.56524;-46.72465;5;2225
1;-23.56666;-46.72727;6;2535
1;-23.56084;-46.73074;7;3935
1;-23.56614;-46.73032;8;4650
1;-23.56827;-46.7321;9;5085
1;-23.568;-46.7405;10;6285
1;-23.56669;-46.73802;11;7885
1;-23.56668;-46.73842;12;8140
1;-23.568;-46.7405;13;9135
2;-23.568;-46.7405;1;0
2;-23.56852;-46.73181;2;1100
2;-23.56709;-46.7275;3;1605
2;-23.56524;-46.72465;4;2225
2;-23.56666;-46.72727;5;2535
2;-23.55958;-46.73435;6;3935
2;-23.55941;-46.73757;7;4265
2;-23.55974;-46.73484;8;4800
2;-23.56084;-46.73074;9;5275
2;-23.56614;-46.73032;10;5990
2;-23.56827;-46.7321;11;6425
2;-23.568;-46.7405;12;7625
2;-23.56669;-46.73802;13;9225
2;-23.56668;-46.73842;14;9480
2;-23.568;-46.7405;15;10475
3;-23.568;-46.7405;1;0
3;-23.56852;-46.73181;2;1100
3;-23.56709;-46.7275;3;1605
3;-23.56589;-46.72534;4;1865
3;-23.56524;-46.72465;5;2225
3;-23.56666;-46.72727;6;2535
3;-23.56084;-46.73074;7;3935
3;-23.56614;-46.73032;8;4650
3;-23.56827;-46.7321;9;5085
3;-23.568;-46.7405;10;6285
3;-23.56669;-46.73802;11;7885
3;-23.56668;-46.73842;12;8140
3;-23.568;-46.7405;13;9135
4;-23.568;-46.7405;1;0
4;-23.56852;-46.73181;2;1100
4;-23.56709;-46.7275;3;1605
4;-23.56589;-46.72534;4;1865
4;-23.56524;-46.72465;5;2225
4;-23.56666;-46.72727;6;2535
4;-23.56084;-46.73074;7;3935
4;-23.56614;-46.73032;8;4650
4;-23.56827;-46.7321;9;5085
4;-23.568;-46.7405;10;6285
4;-23.56669;-46.73802;11;7885
4;-23.56668;-46.73842;12;8140
4;-23.568;-46.7405;13;9135
5;-23.568;-46.7405;1;0
5;-23.56852;-46.73181;2;1100
5;-23.56709;-46.7275;3;1605
5;-23.56589;-46.72534;4;1865
5;-23.56524;-46.72465;5;2225
5;-23.56666;-46.72727;6;2535
5;-23.56084;-46.73074;7;3935
5;-23.56614;-46.73032;8;4650
5;-23.56827;-46.7321;9;5085
5;-23.568;-46.7405;10;6285
5;-23.56669;-46.73802;11;7885
5;-23.56668;-46.73842;12;8140
5;-23.568;-46.7405;13;9135
6;-23.568;-46.7405;1;0
6;-23.56852;-46.73181;2;1100
6;-23.56709;-46.7275;3;1605
6;-23.56589;-46.72534;4;1865
6;-23.56524;-46.72465;5;2225
6;-23.56666;-46.72727;6;2535
6;-23.56084;-46.73074;7;3935
6;-23.56614;-46.73032;8;4650
6;-23.56827;-46.7321;9;5085
6;-23.568;-46.7405;10;6285
6;-23.56669;-46.73802;11;7885
6;-23.56668;-46.73842;12;8140
6;-23.568;-46.7405;13;9135
7;-23.568;-46.7405;1;0
7;-23.56852;-46.73181;2;1100
7;-23.56709;-46.7275;3;1605
7;-23.56589;-46.72534;4;1865
7;-23.56524;-46.72465;5;2225
7;-23.56666;-46.72727;6;2535
7;-23.56084;-46.73074;7;3935
7;-23.56614;-46.73032;8;4650
7;-23.56827;-46.7321;9;5085
7;-23.568;-46.7405;10;6285
7;-23.56669;-46.73802;11;7885
7;-23.56668;-46.73842;12;8140
7;-23.568;-46.7405;13;9135
8;-23.568;-46.7405;1;0
8;-23.56852;-46.73181;2;1100
8;-23.56709;-46.7275;3;1605
8;-23.56589;-46.72534;4;1865
8;-23.56524;-46.72465;5;2225
8;-23.56666;-46.72727;6;2535
8;-23.56084;-46.73074;7;3935
8;-23.56614;-46.73032;8;4650
8;-23.56827;-46.7321;9;5085
8;-23.568;-46.7405;10;6285
8;-23.56669;-46.73802;11;7885
